Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
25-34,Birth Control,9/27/2017,lyza,164750,4,4,"I?õ??ve been taking Lyza for years now and I absolutely hate it. It has caused slight weight gain, some acne (esp. on chest), I have periods every two weeks, headaches and my mood swings are out of control. I?õ??ve gotten depressed, anxious and angry all of the time due to this bc. So glad that I have read these reviews, I was seeing a psych because I had no idea why I was depressed and angry all the time. Not fun! Besides all of that, I?õ??m stuck in it because all other bc raises my risk of a stroke due to bp and the fact that I smoke here and there. This is pure crap. I may try to stay off of it for a while and see if anything changes. ",1, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",1
25-34,Birth Control,1/30/2017,lyza,164750,5,5,"I have been taking Lyza for two months now. I was very anxious about going back on the pill after have an IUD for the past several years. I have noticed acne which I have never had before, but nothing extreme. I eat healthy and exercise about three times a week, I haven't noticed any water weight or bloating. Other than the mild acne, I'm pretty happy. ",4,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",1
25-34,Birth Control,6/1/2016,lyza,164750,2,5,"I have been on this pill for a little over two months now and my experience has been horrible. I don't know anymore when I get my period. I am always spotting sometimes it's light for about 3 days then I get four days heavy bleeding. Then it goes back to spotting light for three days again... this is non stop.
This is crazy I am changing to another type of birth control. ",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",3
35-44,Birth Control,5/6/2016,lyza,164750,5,5,"I took this pill for a month. It was so awful that I can't take it any more. The mood swings are 10 times worse than I've ever experienced before. I eat really healthy and I'm very active but had so much bloating and a fair amount of weight gain. I had less cramping but 7 days of heavy bleeding. The nausea was unbearable most of the time. While this pill was effective, the side effects were so horrible that I quit taking it. My husband and I decided one more baby and then sterilization. No more pills!",1, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",3
25-34,Birth Control,4/29/2016,lyza,164750,5,5,"My OB/GYN placed me on this pill because I was at risk for a stroke while being on estrogen birth controls. I have been taking this medication for 2 months with no side effects: migraines have stopped, no acne, no mood swings, no weight gain, no spotting, and sex drive is still intact. The first month of taking this pill my period was extremely light (almost nonexistant) and lasted only two days. This month I didn't have a period and took a pregnancy test, it was negative. I read reviews that this is normal while taking this pill... Not sure if I like this factor? All in all, i'm pretty pleased with this birth control. Please note that this is a progestin only pill and it is important to take at it at the same time daily.",4,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",10
19-24,Birth Control,1/20/2016,lyza,164750,5,5,"I started taking Lyza birth control because the combined pill I was on previously (Aubra) was causing me to get migraines. Since I've been on Lyza I have noticed that I have been VERY bloated. Also I have never had back acne before and now I do, but it is very mild. Not to mention I have had one period since I have been on this pill. I got a period after the first month and I have taken several pregnancy tests that all come up negative. Also...I have been totally moody. I constantly think my period is coming, but it never does. BUT on the bright side I don't get migraines anymore.",3, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",5
25-34,Birth Control,12/15/2015,lyza,164750,5,5,I have been using this birth control for over a year and I have not had any side effects. I feel great and continue to workout and eat very clean. I doubt that a pill can cause someone to fill bloated or gain weight...I would rethink what people are eating because food is a major factor for  a lot of side effects. Eat clean and workout and you will be fine :) it has worked for me.,5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",5
19-24,Birth Control,12/7/2015,lyza,164750,5,5,"I switched from the Mirena to Lyza and the relief from horrendous cramps was amazing and instantaneous. However, I have noticed slight weight gain (about 5 pounds), and have had severely tender breasts. Sometimes it will last over 1 month and they are sore to the point that moving my arms makes me cringe. The only other major side effect has been frequent bleeding and much heavier periods than usual.  I normally have a fairly light, short period (2 days normal bleeding, 1-2 of spotting). But there have been two occasions since starting Lyza in which I have woken up in a pool of blood on the bed because the bleeding is so heavy and unexpected. There has been some bloating as well, but I'm not sure if that is due to the pill because I had the same issue with Mirena. I have my suspicions about ovarian cysts, so that could be causing the bloating, breast tenderness, and abnormal bleeding. I rated ease of use as one star because it has been very difficult for me to remember to take the pill on time even though I set an alarm on my phone. However, it is still effective because I haven't gotten pregnant yet. I just make sure to use back up protection, or abstain for 3 days after taking a pill late. ",3, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",1
25-34,Birth Control,9/4/2015,lyza,164750,2,4,Right after starting this pill I began gaining weight and I know this was the culprit! I was bloated all the time and extremely moody- sort of like I was just about to start my period constantly. Not the mention the spotting I had about 50% of the time randomly. I absolutely hated this pill and would not recommend. ,1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",3
35-44,Birth Control,8/20/2015,lyza,164750,5,5,"I have gained weight even with working out. I am tired ALL the time and feel horrible. I didn't think this was the whole reason until I read the other reviews. Now I know it's not all in my head. 
Peace of mind FINALLY!",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",1
35-44,Birth Control,3/11/2015,lyza,164750,2,2,"I feel constantly bloated all the time. Seems like certain foods set it off. I also have tender breasts, nausea and dizzy. I feel like I'm pregnant but I'm not because I just had a menstrual cycle. I feel like I'm gaining weight fast. Need to decipher about a meal plan to eat while I'm taking these pills.",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",3
45-54,Birth Control,11/14/2014,lyza,164750,2,4,"After losing 25 lbs over the last two years, I just gained back 5 in two weeks by changing to Lyza from Lo Ortho. On top of that I feel constantly bloated. ",2,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",5
25-34,Birth Control,3/31/2014,lyza,164750,5,1,"I have been taking for a few months.  Ihave missed. Myperiod for almost 2 months with some spotting, and weight gain within 2 to 4 months. I also have some discharge.  I havehad multiple negative pregnancy tests. ",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",4
55-64,Other,8/9/2015,lysiplex plus liquid,149297,1,1, ,1,Female,"Constipation ,  diarrhea , or  upset stomach  may occur.",0
45-54,Abnormally Long or Heavy Periods,11/20/2019,lysteda,154120,4,4,"51 yr old with multiple fibroids, not ready for hysterectomy.  Decided to take Lysteda.  On day 3 and pleased I'm not changing pads every hour. Pain is tolerable and I'm able to wear a tampon with no problems.  I'm hopeful this will continue to work with no problems. ",4, ,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",0
45-54,Abnormally Long or Heavy Periods,6/3/2019,lysteda,154120,1,1,"This drug is very dangerous.  I experienced almost every side effect and ended up on the hospital.  Blurred vision, dizziness, nausea, excruciating leg pain which continues even though I stopped taking the drug over a week ago. I passed out which landed me in the hospital.  Blood pressure through the roof and still not under control.  It's a miracle that I did not have a stroke or worse.  DON'T USE IT.  Deal with the Heavy Bleeding or opt for surgical intervention which is my next step.  DNC/Ablation.  Good luck!",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",1
45-54,Abnormally Long or Heavy Periods,4/6/2019,lysteda,154120,5,5,"I am currently taking Lysteda but can only take this drug for only to days because I have the prothrombin mutation G 20210. I am at a slightly higher risks for DVTS, venous blood clots. To reduce my risk and to get the maximum use of this drug, I take it on day 2-3 of my period and then stop. My Bleeding is reduced by 50 percent! Those two days are my absolute worst soaking through heavy pads. My doctor didn?õ??t want to prescribe it to me at all, so I found another doctor who told me to take it only for two days to reduce have a stroke. While, I am on my period I also take Proferrin an iron pill to help with my low iron issues.",4, ,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",0
55-64,Abnormally Long or Heavy Periods,2/23/2018,lysteda,154120,4,4,I used this drug while I was going through menopause ,4, ,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",2
35-44,Abnormally Long or Heavy Periods,9/24/2017,lysteda,154120,4,4,"I am an elementary teacher, so needing to go to the bathroom during my monthly cycle can be a hassle, and even more so with the problems I was having. I was experiencing VERY heavy bleeding with numerous ",5, ,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",2
19-24,Dandruff,7/20/2018,pyrithione zinc shampoo,170586,1,1,"I have never had an issue with dandruff before until recently, my mom has had it in the past and we are very similar when it comes to allergies so I took ONE shower using the same Head and Shoulders anti dandruff shampoo (with the Pyrithione Zinc) and the next day I woke up with a small rash on my forehead. I didn?õ??t think anything of it, but as the day continued my cheeks became inflamed and extremely red, then I noticed it on my arms and realized it covered my entire body. It started to itch more as the day progressed, I took a Benadryl and antihistamine after it had gotten worse. It?õ??s been 24 hours since I?õ??ve used the shampoo containing this drug and I am a still itching and dealing with the rash covering my entire body. I have never been allergic to any food, medications, or products my entire life, this really caught me off guard and I don?õ??t know what to do!",1, , ,3
75 or over,Dandruff,9/2/2017,pyrithione zinc shampoo,170586,4,3, ,4,Female, ,0
35-44,Abnormally Long or Heavy Periods,9/12/2017,lysteda,154120,5,4,"Not a miracle, but a definite game changer. The pain is still strong, but not to the point where I can't stand up anymore. Give it time. The first few months there was little change, but after several months it really made a difference. ",4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",0
35-44,Abnormally Long or Heavy Periods,9/2/2017,lysteda,154120,5,5,"Lysteda saved me, I was bleeding profusely due to a very large fibroid. I took it days before my fibroid surgery in order to avoid further blood loss. It worked the first day I took it. I would highly recommend this for very heavy bleeding. After taking I only had minimal spotting.
",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",0
45-54,Abnormally Long or Heavy Periods,7/14/2016,lysteda,154120,3,1,"I was prescribed Lysteda to slow down my heavy, long periods. It has done nothing for me. My periods are still extremely heavy. I don't have any side effects..but it doesn't help me at all. Very disappointing.",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",2
35-44,Abnormally Long or Heavy Periods,3/7/2016,lysteda,154120,4,4,"I have very heavy bleeding/many clots from fibroids. Lysteda cut bleeding in 1/2 and lets me function with family/work better. side effect: occasional headaches. 2 pills/3 times a day for 5 days. When I run out, heavy bleeding sometimes returns on last days of period. But overall, medication helps me be able to go to work/leave the house.  It is helping me manage through my periods until I have a uterine artery embolization in the future to deal with my fibroids.",5, ,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",7
35-44,Abnormally Long or Heavy Periods,3/4/2016,lysteda,154120,1,1,"I have experienced very heavy and long periods (12-14 days with a period, 14-16 days without each and every month) for the past three years. I'm always very reluctant to seek medical help, but I finally got my answer: an overgrown endometrium (endometrial hyperplasia). I wanted to try this product because it's non-hormonal. This is my second month using this product, and it doesn't work for me. The first month I had my usual ridiculously heavy flow for five days of my 14-day period. I thought maybe it was a fluke and that I should try again. That was a waste of money. I'll be going back to the doctor to see if she can possibly recommend treatment for the cause of my problem instead of seeking to simply treat the symptoms, which in my case didn't treat them anyway.   ",1, ,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
45-54,Abnormally Long or Heavy Periods,1/2/2016,lysteda,154120,4,4,"I have adenomyosis, and a failed oblation, with very heavy periods.I am 52 and not close to menopause yet and have resisted having a hysterectomy bacause my uterus is too big for the easier type of surgery.  I have used Lysteda for two cycles, and so far, I think it is working and I'm pleased.  I was able to go to a 7am yoga class on morning three and have no problems!!  I do think I might be experiencing some back pain as a side effect, and I did have a very heavy day 6 which was unusual. I think you may have to be very consistent about taking three doses a day for the five days.  I will try to come back and update this review after a couple more months, but if I continue like this, I will be very happy to continue getting a cycle and avoiding menopause for a little longer!",4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",6
45-54,Abnormally Long or Heavy Periods,11/20/2015,lysteda,154120,5,5,I call this my miracle pill.....thank God my doctor put me on this. The heavy extra long periods at the age of 52 was out of control. I tell everyoe about this.,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",6
25-34,Abnormally Long or Heavy Periods,11/8/2015,lysteda,154120,5,3,"I have severe Endometriosis & Adenomyosis, and I have been on this medication for 4 years. I've had multiple endometrial tissue removal surgeries and was taking various hormone therapies for 20 years (with terrible results) prior to taking this medication. My periods typically lasted 15-30 days prior to this medication, and now they last about 10-15. I still have very heavy bleeding with large clots (along with severe cramping), however this medication has helped with breaking up the clots, and decreasing the amount of days that are 'very heavy flow.' The only side effects I have experienced have been nausea and vomiting. The medication is prescribed for 5 days at 3x's/day, however, I take it 2x's/day for 7 to 8 days, and that has worked well for me. When I take it 3x's/day I will vomit, but at 2x's/day I only experience nausea. This medication has helped me more than hormone therapy has in terms of controlling heavy bleeding & clotting. Now that a generic is available, more insurance companies are covering it, making it more available and affordable.",3,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",5
35-44,Abnormally Long or Heavy Periods,9/6/2015,lysteda,154120,5,4,"Just started - I have 2 fibroids and was in a ""wait and see"" mode for a couple of years, but they've been growing and now I have problems every month.  I'm on day three of this medication and the bleeding is controllable.  I'm still having all other period symptoms (cramps, bloating) but I am not constantly running to the  bathroom.  As for side effects, I only noticed a little light-headedness the first day.  I can recommend it based on my experience, but I'll need to try it for several months to really know if this is a solution.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
35-44,Abnormally Long or Heavy Periods,4/30/2015,lysteda,154120,5,5,"I tell everyone about this drug.  It is a miracle.  I can't take hormones and I dont want to have surgery.  I have been taking it every month for 2 years.  It decreases bleeding about 75% on average each month.  I still bleed for about 5 days but thats better than 7 or 8.  My cramping is reduced greatly as well.  I don't have any side effects from it.  I do have a lot of headaches during my period but thats not unusual.  I had headaches with my period before I began taking this drug.  I CANNOT go back to life without this drug!  I keep 2 in my office and 2 in my purse just in case I start early.  I don't want to go a minute without it.  The only issue I have found with it is that if I dont taking it around the clock, the effects wear off quickly. It is very short acting.  That's fine though.  I'll take that any day over hormones or surgery.  ",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",6
45-54,Abnormally Long or Heavy Periods,8/2/2014,lysteda,154120,5,3,"I've have an ablation (Novasure) about 2 1/2 years ago. Didn't work.  I have fibroids. I've been on Lysteda for about 9 months. In the beginning it was good. Three to four heavy days instead of 5 to 7. But, the heavy days started getting really heavy again. Now I have had Mirena implanted into me.  This is my second month with that. I was so nauseated that I had to leave work.  I'm happy that this helps other people. I have heard that it does and I know that it can. Unfortunately, it just hasn't for me. ",3,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
45-54,Abnormally Long or Heavy Periods,7/30/2014,lysteda,154120,5,5,"I called it the miracle drug, because it works beautifully for me. No side effects at all",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
35-44,Abnormally Long or Heavy Periods,5/28/2014,lysteda,154120,5,5,"EXTREMELY heavy periods due to a 7cm fibroids. I am scheduled for a hysterectomy in 3 months. Asked my doc if there were any meds to help with the heavy bleeding and I got this miracle pill. I usually go through 1 super size super pack the first 3 days. Day 4 and I've barely gone through 20 pads. 
I have some headache after taking the pill, but I TOTALLY take it over the heavy flow and the fear of having an ""accident"" while on my menses. Highly recommend it.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
35-44,Abnormally Long or Heavy Periods,5/27/2014,lysteda,154120,4,4,"I've had heavy painful periods all most of my life.  Worse in my teens and then came back strong in my mid thirties.  No kids or pregnancies but I get ovarian cysts.  While I was considering a Novasure, my doctor prescribed lystera.  I only have taken it on my heavy days or when I know  I need to function outside the house as I can most work from home.  I took it steadily this last month and it made a huge difference.  I had scheduled the Novasure but after doing a deeper dive into the supposed 10% it doesn't work for .. I'm going to stick with the lysteda and aleve.  After all, this too shall pass ... I've dealt with it for over 30 years .. What's another 5-10? ",4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",7
45-54,Abnormally Long or Heavy Periods,11/27/2013,lysteda,154120,5,5,At 52 I am still having heavy peroids.  This is much safer than hormone drug. Other than fatigue I have no other side effects and I would feel that way anyway during a heavy cycle.  definitely reduces the blood flow.,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",12
45-54,Abnormally Long or Heavy Periods,11/5/2013,lysteda,154120,4,4,"45 and diagnoses with a thicker than usual endometrium.  No cancer and one small fibroid.  Cycles are disgustingly heavy and always restrict my activity.  Palm sized clots are a 'normal' monthly occurrence.   Lysteda drastically reduced my periods but not without side effects.  Month 1 I took the full 5 days and was very happy with the light period.   I only used 5 supers on days 2/3 as opposed to a full box of super+!  I wore liners on days 4 & 5!  Side effects were fatigue, migraine level headaches, muscle pain, congestion, random sneezing, dizziness, sensitivity to light and insomnia.  Month 2 and again a lighter than usual period but I stopped taking the med after day 3.  Debilitating migraine, diarrhea, nausea, horrible cramps, severe congestion, continual sneezing, itchy skin and nose, fatigue, extreme drowsiness, swollen glands in the neck, very cold hands and feet and hip pain.  All symptoms went away within 8 hours after stopping the med so no, I did not have the flu!   I think I'll opt for one of the procedures.",2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",15
45-54,Abnormally Long or Heavy Periods,10/11/2013,lysteda,154120,3,2,"I was prescribed this medication for severely heavy and long periods that put me into a state of anemia. This drug simply postponed my period and when it came, was heavier than ever causing even worse anemia. My skin broke out in a rash all over my body and my eyes have been twitching for 2 weeks, which I've never had before. Glad that it works for some people; I had high hopes but will not take this drug again.",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",5
13-18,Abnormally Long or Heavy Periods,9/25/2013,lysteda,154120,5,1,"hi my name is lara and im 18 years old and i was prescribed with this pill a week before my expected period hoping that it would lessen my period and maybe even delay it a couple of days.. I asked my doctor for a prescription for a progesterone pill but she refused and thought that lysteda would be best for me. The reason why i desperately needed this pill was because i was flying out to las vegas to see my boyfriend for a week and it just so happen to be that i was supposed to get my period at that time. I'm not on birth control (but i should be) because i dont want my mother to think that im having sex etc. So i went to las vegas and for the first four days i was there i didnt get my period (thank god) and the fifth day i got it and took the pills that morning afternoon and night for the first few days of my period hoping that it would have some effect. Well, it didn't. I was so pissed off because i get terrible periods where i can't get out of bed and i'm really not a nice person and highly emotional and it's just not a good time for me. Plus i was staying with my boyfriend and thats so not fun if i have it. I'm very upset that this pill didn't work with me after reading all of the amazing reviews about it and if i want to miss another period i guess i'm just going to have to go on birth control. Thanks doc",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
35-44,Abnormally Long or Heavy Periods,8/18/2013,lysteda,154120,4,4,"I had stroke like symptoms last month while taking this medication.  Blurred vision, slurred speech and droopy face.  Went to ER for CT and MRI which showed no actual stroke but possible TIA..going to neurologist soon for follow up",2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",7
19-24,Other,7/8/2013,lysteda,154120,4,1,"I was prescribed Lysteda to treat severe menstrual cramps. The idea was that if bleeding was reduced, so would the pain. Not so, unfortunately. My flow was reduced but there was little/no effect on the pain. I don't recommended it as cramp relief. ",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",0
35-44,Abnormally Long or Heavy Periods,5/11/2013,lysteda,154120,4,5,My periods were excrutiatingly heavy and painful. Every month I was bedridden for a minimum of three days. I agonized for months about having a hysterectomy to end the misery but face the possibility of never having a child. Lysteda has  literally saved my life and has given it back to me!! It is phenomenal how incredible this stuff has worked for me! I can't believe I've never heard of it until now! This stuff should be adverstised a lot more so that more lives can be spared the misery of living with painful and heavy periods. I am telling everyone I know about it! I feel so full of life! So energized! So happy and SOO RELIEVED that NEVER AGAIN WILL AGONIZE AND SUFFER during my period. OMG! I fail to find the right words to describe just how amazingly Lysteda has worked for me!I was skeptical that it would work for me but you just have to experience it to believe it!! ,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
35-44,Abnormally Long or Heavy Periods,4/22/2013,lysteda,154120,4,4,"For over 7 years, after the birth of my daughter, I would  have very heavy periods and sharp pains each month and no one could tell me what was wrong. Finally, I moved back to my home state of Florida and located a doctor that prescribed Lysteda...THANK YOU LORD!!!! I have been taking this medicine for about 1 1/2 and although my cycle last about 6 days, I would rather take that than 2 days of ""faucet flowing"" cycle. It was so bad that I would have to wear a Depend for the first 3 days ...embarrassing!!! I'm happy with the meds...had some side effects earlier, but nothing compared to how I was before!",4, ,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",9
35-44,Abnormally Long or Heavy Periods,2/16/2013,lysteda,154120,3,5,"I am a 43 year old African American female and I have taken this medication since August 2011. Immediately upon use of this medication i saw results. The heavy bleeding was greatly reduced. I have several fibroids, more than i can count, but i primarily have 3 large ones. One the size of an orange, another a lemon and another a golf ball. At any rate, after using the drug for two months, i noticed that I because sensitive to Tide Washing powder. I stopped using Tide powder, and started using the liquid. Things appeared great until now. Currently, I am super sensitive to everything. Tide, powder or liquid. I'm even sensitive to free and clear washing detergents and fabric softners. In addition, I can't eat any food that contains oil of any kind: soybean, vegetable, corn, safflower, sunflower and the list goes on. If I consume anything with oil or ware clothes washed in the over the counter detergents, I immediately start itching severely and break out into hives. After consulting with my doctor, she informed me that one of the side-effects of Lysteda is hypersensitivity. So far now, I am giving up on it and seeking another solution.  ",2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",14
35-44,Abnormally Long or Heavy Periods,2/9/2013,lysteda,154120,1,5,"I'm 44 YO
Took it for three days and lost my period !:(
",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",5
45-54,Abnormally Long or Heavy Periods,1/26/2013,lysteda,154120,4,4,I took Lysteda for about 18 months.  It definately worked to reduce and control monthly bleeding.  I began to suffer from joint discomfort however and discontinued this med to try low dose birth control meds instead.  Within three months my joint pain has subsided immensely!,2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
35-44,Abnormally Long or Heavy Periods,1/20/2013,lysteda,154120,5,5,I am only 36 but after having my twins 7 years ago I have suffered with periods so heavy I feel like I need to wear a diaper just to get through the day! Since I have been taking Lysteda it's like a whole new world. I don't feel like I have to run to change every 15 minutes. Thank You!!!,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",14
